,confirm,suspect,heal,dead,severe,input
突尼斯,1051,0,929,48,0,
塞尔维亚,11300,0,6438,241,0,
中国,84547,5,79791,4645,4,1734.0
日本,17471,0,14801,895,0,
泰国,3065,0,2945,57,0,
新加坡,33249,0,17276,23,0,
韩国,11344,0,10340,269,0,
澳大利亚,7150,0,6579,103,0,
德国,181895,0,162800,8533,0,
美国,1747781,0,490256,102197,0,
马来西亚,7629,0,6169,115,0,
越南,327,0,278,0,0,
圣巴泰勒米,6,0,6,0,0,
肯尼亚,1618,0,421,58,0,
伊朗,143849,0,112988,7627,0,
以色列,16809,0,14602,281,0,
毛利亚尼亚,16,0,6,2,0,
黎巴嫩,1161,0,692,26,0,
克罗地亚,2245,0,2051,102,0,
奥地利,16628,0,15286,668,0,
瑞士,30796,0,28300,1917,0,
希腊,2903,0,1374,173,0,
毛里求斯,334,0,322,10,0,
爱沙尼亚,1851,0,1574,66,0,
北马其顿,2077,0,1486,121,0,
白俄罗斯,39858,0,16660,219,0,
立陶宛,1656,0,1193,68,0,
阿塞拜疆,4568,0,2897,54,0,
美属维尔京群岛,69,0,46,6,0,
蒙古,161,0,43,0,0,
乌克兰,22382,0,8439,669,0,
波兰,22600,0,10560,1030,0,
波黑,2462,0,1781,153,0,
蒙特塞拉特,11,0,10,1,0,
南非,25937,0,13451,552,0,
布隆迪,42,0,20,1,0,
南苏丹,994,0,6,10,0,
马耳他,612,0,491,7,0,
摩尔多瓦,7537,0,3884,274,0,
保加利亚,2477,0,965,134,0,
孟加拉国,40321,0,8425,559,0,
阿尔巴尼亚,1050,0,812,33,0,
巴勒斯坦,435,0,365,3,0,
科摩罗,87,0,24,2,0,
阿富汗,13036,0,1209,235,0,
沙特阿拉伯,80185,0,54553,441,0,
新西兰,1504,0,1474,22,0,
塔吉克斯坦,3563,0,1674,47,0,
泽西岛,307,0,0,29,0,
叙利亚,121,0,43,4,0,
巴拿马,11728,0,7379,315,0,
古巴,1983,0,1734,82,0,
尼日利亚,8733,0,2501,254,0,
摩洛哥,7636,0,5109,202,0,
塞内加尔,3348,0,1686,39,0,
老挝,19,0,16,0,0,
巴哈马,100,0,46,11,0,
马约特岛,1670,0,1315,21,0,
斯洛文尼亚,1471,0,1354,108,0,
卢森堡,4001,0,3791,110,0,
爱尔兰,24803,0,22089,1631,0,
厄瓜多尔,38103,0,18425,3275,0,
捷克,9103,0,6377,317,0,
匈牙利,3816,0,1996,509,0,
法属圭亚那,406,0,150,1,0,
多哥共和国,395,0,183,13,0,
哥斯达黎加,984,0,639,10,0,
文莱,141,0,137,2,0,
法罗群岛,187,0,187,0,0,
马提尼克岛,197,0,91,14,0,
荷兰,45950,0,322,5903,0,
巴西,414661,0,166647,25697,0,
洪都拉斯,4640,0,506,194,0,
乌拉圭,803,0,650,22,0,
秘鲁,135905,0,56169,3983,0,
智利,82289,0,33540,841,0,
格陵兰,13,0,11,0,0,
圣巴托洛谬岛,6,0,6,0,0,
马尔代夫,1457,0,197,5,0,
委内瑞拉,1245,0,302,11,0,
毛里塔尼亚,292,0,15,16,0,
纳米比亚,22,0,14,0,0,
法属留尼汪岛,460,0,411,1,0,
波多黎各,3397,0,0,129,0,
加纳,7303,0,2412,34,0,
赤道几内亚,1043,0,165,12,0,
几内亚,3358,0,1783,20,0,
卢旺达,346,0,245,0,0,
格林纳达,23,0,18,0,0,
斯威士兰,272,0,168,2,0,
坦桑尼亚,509,0,183,21,0,
贝宁,210,0,134,3,0,
刚果（金）,2660,0,381,69,0,
中非共和国,702,0,23,1,0,
利比里亚,266,0,144,27,0,
索马里,1731,0,265,67,0,
塞拉利昂,782,0,297,45,0,
乍得,715,0,359,64,0,
赞比亚,1057,0,779,7,0,
巴巴多斯,92,0,76,7,0,
马里,1116,0,632,70,0,
阿根廷,13933,0,4349,500,0,
法属波利尼西亚,60,0,60,0,0,
巴林,9977,0,5295,15,0,
莫桑比克,227,0,71,1,0,
喀麦隆,5436,0,1996,175,0,
乌干达,281,0,69,0,0,
厄立特里亚,39,0,39,0,0,
刚果（布）,571,0,161,19,0,
津巴布韦,132,0,25,4,0,
丹麦,11512,0,10180,568,0,
阿鲁巴,101,0,97,3,0,
斐济,18,0,15,0,0,
伯利兹,18,0,16,2,0,
缅甸,206,0,126,6,0,
塞浦路斯,939,0,594,17,0,
关岛,170,0,143,5,0,
科索沃,1047,0,791,30,0,
圣皮埃尔岛和密克隆岛,1,0,1,0,0,
吉尔吉斯斯坦,1594,0,1066,16,0,
博茨瓦纳,35,0,20,1,0,
尼日尔,952,0,796,63,0,
苏里南,12,0,9,1,0,
佛得角,390,0,155,4,0,
萨尔瓦多,2194,0,1002,39,0,
圭亚那,139,0,67,11,0,
尼加拉瓜,759,0,379,35,0,
冈比亚,25,0,19,1,0,
东帝汶,24,0,24,0,0,
巴基斯坦,61227,0,20231,1260,0,
埃及,19666,0,5205,816,0,
科威特,24112,0,8698,185,0,
斯洛伐克,1520,0,1332,28,0,
直布罗陀,157,0,147,0,0,
摩纳哥,98,0,90,4,0,
巴拉圭,884,0,392,11,0,
荷属安的列斯,18,0,14,1,0,
多米尼克,16,0,16,0,0,
乌兹别克斯坦,3437,0,2685,14,0,
黑山,324,0,315,9,0,
危地马拉,4145,0,493,68,0,
加蓬,2319,0,631,14,0,
苏丹,4346,0,749,195,0,
利比亚,99,0,40,4,0,
圣马丁岛,77,0,59,15,0,
土耳其,159797,0,122793,4431,0,
巴布亚新几内亚,8,0,8,0,0,
多米尼加共和国,15723,0,8790,474,0,
约旦,720,0,586,9,0,
亚美尼亚,8216,0,3287,113,0,
圣基茨和尼维斯,15,0,15,0,0,
瓜德罗普,161,0,115,14,0,
安提瓜和巴布达,25,0,19,3,0,
玻利维亚,7768,0,689,280,0,
哥伦比亚,24104,0,6111,803,0,
圣文森特和格林纳丁斯,18,0,14,0,0,
圣卢西亚,18,0,18,0,0,
法国,182913,0,66584,28596,0,
阿联酋,32532,0,16685,258,0,
加拿大,87519,0,46164,6765,0,
印度,160310,0,68713,4560,0,
英国,267240,0,1918,37460,0,
意大利,231139,0,147101,33072,0,
俄罗斯,379051,0,150993,4142,0,
菲律宾,15588,0,3598,921,0,
芬兰,6743,0,5100,313,0,
尼泊尔,1042,0,187,5,0,
葡萄牙,31596,0,18637,1369,0,
也门,256,0,10,53,0,
塞舌尔,11,0,11,0,0,
西班牙,283849,0,196958,28752,0,
斯里兰卡,1469,0,732,10,0,
阿尔及利亚,8857,0,5129,623,0,
柬埔寨,124,0,122,0,0,
海地,1320,0,22,34,0,
瑞典,35727,0,4971,4266,0,
特里尼达和多巴哥,116,0,108,8,0,
吉布提,2914,0,1241,20,0,
圣多美与普林西比,443,0,68,12,0,
布基纳法索,845,0,672,53,0,
比利时,57849,0,15572,9388,0,
伊拉克,5457,0,2971,179,0,
马拉维,101,0,37,4,0,
冰岛,1805,0,1792,10,0,
几内亚比绍,1195,0,42,7,0,
拉脱维亚,1061,0,741,24,0,
不丹,31,0,6,0,0,
挪威,8406,0,7727,236,0,
印度尼西亚,24538,0,6240,1496,0,
安哥拉,71,0,18,4,0,
开曼群岛,140,0,67,1,0,
埃塞俄比亚,831,0,191,7,0,
梵蒂冈,12,0,2,0,0,
科特迪瓦,2556,0,1302,31,0,
卡塔尔,50914,0,15399,33,0,
莱索托,2,0,0,0,0,
格鲁吉亚,738,0,573,12,0,
墨西哥,78023,0,54383,8597,0,
圣马力诺,667,0,294,42,0,
哈萨克斯坦,9576,0,4827,37,0,
安道尔,763,0,676,51,0,
牙买加,569,0,279,9,0,
格恩西岛,252,0,191,13,0,
罗马尼亚,18791,0,12629,1231,0,
阿曼,9009,0,2177,40,0,
列支敦士登,82,0,55,1,0,
马达加斯加,612,0,151,2,0,
